Tanggal,Hari,DSA Topic,ML Topic,System/Behavioral,Motivation
2025-11-25,Tuesday,"Dynamic Programming basics (Fibonacci, Knapsack)","Neural Network, CNN, RNN",Design image classification system,"Keep grinding, not scrolling 💪"
2025-11-26,Wednesday,"Dynamic Programming basics (Fibonacci, Knapsack)","Neural Network, CNN, RNN",Design image classification system,One more step closer to Google 🚀
2025-11-27,Thursday,"Dynamic Programming basics (Fibonacci, Knapsack)","Neural Network, CNN, RNN",Design image classification system,"Debug your laziness, not your code 😎"
2025-11-28,Friday,"Dynamic Programming basics (Fibonacci, Knapsack)","Neural Network, CNN, RNN",Design image classification system,Consistency beats talent 🔥
2025-11-29,Saturday,"Dynamic Programming basics (Fibonacci, Knapsack)","Neural Network, CNN, RNN",Design image classification system,"Dream big, execute daily 🌟"
2025-11-30,Sunday,"Dynamic Programming basics (Fibonacci, Knapsack)","Neural Network, CNN, RNN",Design image classification system,Tiny progress > No progress 🧠
2025-12-01,Monday,"Dynamic Programming basics (Fibonacci, Knapsack)","Neural Network, CNN, RNN",Design image classification system,Focus. Learn. Repeat. 💥
2025-12-02,Tuesday,"Sliding Window, Two Pointer","Transformer intro, Attention mechanism",Design recommendation system,"Keep grinding, not scrolling 💪"
2025-12-03,Wednesday,"Sliding Window, Two Pointer","Transformer intro, Attention mechanism",Design recommendation system,One more step closer to Google 🚀
2025-12-04,Thursday,"Sliding Window, Two Pointer","Transformer intro, Attention mechanism",Design recommendation system,"Debug your laziness, not your code 😎"
2025-12-05,Friday,"Sliding Window, Two Pointer","Transformer intro, Attention mechanism",Design recommendation system,Consistency beats talent 🔥
2025-12-06,Saturday,"Sliding Window, Two Pointer","Transformer intro, Attention mechanism",Design recommendation system,"Dream big, execute daily 🌟"
2025-12-07,Sunday,"Sliding Window, Two Pointer","Transformer intro, Attention mechanism",Design recommendation system,Tiny progress > No progress 🧠
2025-12-08,Monday,"Sliding Window, Two Pointer","Transformer intro, Attention mechanism",Design recommendation system,Focus. Learn. Repeat. 💥
2025-12-09,Tuesday,Tree/Graph/DP mixed practice,"Feature engineering, data preprocessing",Behavioral final review,"Keep grinding, not scrolling 💪"
2025-12-10,Wednesday,Tree/Graph/DP mixed practice,"Feature engineering, data preprocessing",Behavioral final review,One more step closer to Google 🚀
2025-12-11,Thursday,Tree/Graph/DP mixed practice,"Feature engineering, data preprocessing",Behavioral final review,"Debug your laziness, not your code 😎"
2025-12-12,Friday,Tree/Graph/DP mixed practice,"Feature engineering, data preprocessing",Behavioral final review,Consistency beats talent 🔥
2025-12-13,Saturday,Tree/Graph/DP mixed practice,"Feature engineering, data preprocessing",Behavioral final review,"Dream big, execute daily 🌟"
2025-12-14,Sunday,Tree/Graph/DP mixed practice,"Feature engineering, data preprocessing",Behavioral final review,Tiny progress > No progress 🧠
2025-12-15,Monday,Tree/Graph/DP mixed practice,"Feature engineering, data preprocessing",Behavioral final review,Focus. Learn. Repeat. 💥
2025-12-16,Tuesday,Mock interview + review week,"MLOps (MLflow, Docker, CI/CD)",Mock + Project polish + Final reflection,"Keep grinding, not scrolling 💪"
2025-12-17,Wednesday,Mock interview + review week,"MLOps (MLflow, Docker, CI/CD)",Mock + Project polish + Final reflection,One more step closer to Google 🚀
2025-12-18,Thursday,Mock interview + review week,"MLOps (MLflow, Docker, CI/CD)",Mock + Project polish + Final reflection,"Debug your laziness, not your code 😎"
2025-12-19,Friday,Mock interview + review week,"MLOps (MLflow, Docker, CI/CD)",Mock + Project polish + Final reflection,Consistency beats talent 🔥
2025-12-20,Saturday,Mock interview + review week,"MLOps (MLflow, Docker, CI/CD)",Mock + Project polish + Final reflection,"Dream big, execute daily 🌟"
2025-12-21,Sunday,Mock interview + review week,"MLOps (MLflow, Docker, CI/CD)",Mock + Project polish + Final reflection,Tiny progress > No progress 🧠
2025-12-22,Monday,Mock interview + review week,"MLOps (MLflow, Docker, CI/CD)",Mock + Project polish + Final reflection,Focus. Learn. Repeat. 💥
